78929321,2,"Avon Make Up Remover Locao Remover Maquiagem","8,00",23,0,0,0,0,100,4,0,1,0
7899089409056,2,"Avon Renew Reversalist Noite","60,00",143
7899089406895,2,"Avon Renew Reversalist Dia","60,00",2
7899089425193,2,"Avon Renew Genics Creme Trat Cosmetico 30g","70,00",0
7899089424677,2,"Avon Renew Genics trat.cosm. olhos","45,00",0
7899089411721,"renew derma-fuul creme preenchimento para labios",1,1
7899089412186,2,"Avon Disney Branca Neve colonia meninas","14,00",2
7899089413510,2,"Avon Baby Locao Hidr Corpo","15,00",2
7899089413374,2,"Avon Baby Sabonete Liquido","14,00",1
7898513041770,3,"Jequiti Procurando Nemo sabonete veg hidr","15,90",1
7898469800216,3,"Jequiti Procurando Nemo Shampoo","17,60",1
7898469801565,3,"Jequiti Disney Baby Agua colonia","38,90",0
7898480573946,3,"Jequiti Disney Baby Shampoo cabelo e corpo","17,60",2
7898528403709,1,"Natura Mamae Bebe Oleo Vegetal Banho","54,50",1,0,0,0,0,100,3693,0,1,0
7898528403662,1,"Natura Mamae Bebe Sabonete Barra 02 Unid","13,90",0
7898528403624,1,"Natura Mamae Bebe Agua Colonia Sem Alcool","49,30",1
7898447680717,1,"Natura Mamae Bebe Agua Colonia Flor Laranjeira","49,30",2
7898528403532,1,"Natura Mamae Bebe Shampoo Suave Passiflora","17,40",2,2,0,0,0,100,0,0,1,0
7898496316360,1,"Natura Nature Tcharan Cond Secagem Rapida","14,60",3
7898496316346,1,"Natura Nature Shampoo Secagem Rapida","13,50",2
7898506884070,1,"Natura Nature Splack Shampoo Cabelos Lisos","13,50",4
7898506884117,1,"Natura Nature Splack Condicionador Cab Lisos RF","11,60",7
7898487308169,1,"Natura Nature  Borogodo Condicionador","14,60",1
7898528402443,1,"Natura Nature Colonia Mocinhas C/Valvula","53,50",1
7898528402450,1,"Natura Nature  Ha Ha Ha Colonia Mocinhos","53,50",2
7898517657397,1,"Natura Nature Toin creme Pentear Cabelos Cacheados","14,90",0
7898532698870,1,"Natura Nature Mistureba Sabenetes Barra Sortidos","19,90",1
7898501067058,1,"Natura Tododia Algodao Creme Hidr Maos","14,80",0
7898506877911,1,"Natura Tododia  Deso Roll-on Alecrim/Salvia","13,60",14
7898473139746,1,"Natura Tododia Leite Algodao Deso  Roll-on","13,60",5,3,0,0,0,100,0,0,1,0
7898506877904,1,"Natura Tododia Macadamia Deso em Creme","13,60",8
7898506877898,1,"Natura Tododia Macadamia Desodorante roll-on","13,60",5
7898506877928,1,"Natura Tododia Deso em Creme Alecrim Salvia","13,60",2
7898473139715,1,"Natura Tododia Sem Perfume Deso Roll-On","13,60",4,3,0,0,0,100,0,0,1,0
7898473139791,1,"Natura Tododia Cha Verde Deo em Creme","13,60",4
7898473139807,1,"Natura Tododia Leite Algodao Deso em Creme","13,60",4
7898473139760,1,"Natura Tododia sem Perfume Deso em Creme","12,90",0
7898548804500,1,"Natura Ekos Cheiro Moca Bonita Sabonete Barra","4,50",0
7898528407332,1,"Natura Ekos Pitanga Sabonete Barra","4,50",5
7898528407318,1,"Natura Ekos Maracuja Sabonete em barra","4,50",0
7898528407417,1,"Natura Ekos Castanha Sabonete Barra","4,50",2
7898532699716,1,"Natura Ekos Sabonetes Cremoso Sortidos 04 un.","16,90",0,0,0,0,182,0,100,0,0,1,0
7898501062800,1,"Natura Tododia Alecrim/Salvia Hidr Corporal","29,80",1
7898532708296,1,"Natura Tododia Lichia Hidra Corporal","29,80",0
7898528409664,1,"Natura Tododia Orquidea  Hidra Corporal","29,80",4
7898496316674,1,"Natura Tododia Macadamia Hidra Corporal","29,80",0
7898496316629,1,"Natura Tododia Pessego Hidr Corporal","29,80",10
7898501062787,1,"Natura Tododia Algodao Hidr Corporal","29,80",2
7898517653504,1,"Natura Tododia Algodao Hidr Banho c/Enxague","25,80",21
7898501066495,1,"Natura tododia cereja/avela hidr banho c/ enxag","25,80",55
7898532706254,1,"Natura Tododia Amora/Amendoas Sabonete Liquido","17,90",0
7899089420297,2,"Avon sun bloq solar 40 kids (bisnaga)","32,00",4
7899089420174,2,"Avon sun bloq solar spray colorido 30 kids","32,00",5
7899089419789,2,"Avon sun protetor solar 15","20,00",0
7899089420136,2,"Avon sun bolq solaR facial 50 (bisnaga) 50g","26,00",1
7899089420235,2,"Avon sun bloq solar 50 125 g","27,00",1
7899089419925,2,"Avon Sun Bloqueador Solar 30 125 g","25,00",8
7898506883172,1,"Natura ekos pitanga condicionador","18,10",11
7898528408940,1,"Natura Ekos Cacau Shampoo","14,90",0
7898528408964,1,"Natura Ekos Cacau Condicionador","18,10",0
7898506883127,1,"Natura Ekos Pitanga Shampoo","14,90",8
7898548808157,1,"Natura Ekos Andiroba Condicionador","18,10",6
7898548808126,1,"Natura Ekos Andiroba Shampoo","14,90",7
7898501068963,1,"Natura Ekos Castanha Shampoo","14,90",3
7898501069083,1,"Natura Ekos Castanha Condicionador","18,10",2,2,0,0,0,100,0,0,1,0
7898506883141,1,"Natura Ekos Maracuja Shampoo","14,90",5
7898506883196,1,"Natura Ekos Maracuja Condicionador","18,10",3
7898517657311,1,"Natura Ekos Matte Verde Shampoo","14,90",0
7898532699495,1,"Natura Ekos Acai Frescor Aromatico 150 ml","59,80",0
7898532702201,1,"Natura Ekos Maracuja Frescor Aromatico","59,80",0
7898548802131,1,"Natura Ekos Maracuja Roxo Frescor Aromatico","59,80",0
7898532699549,1,"Natura Ekos Acai Sabonete Liquido p/maos","27,30",0
7898501069243,1,"Natura Ekos Castanha Polpa Hidrat Corpo","39,80",1
7898447683244,1,"Natura kayak Deso Masculino Refil","16,20",7
7898532698788,1,"Natura Tododia Lima/Tangerina Hidra Corporal","29,80",0
7898528405741,1,"Natura Kayak Pulso Deo Masc Refil","16,20",11
7898532690966,1,"Natura Homem Deso Spray Masculino Refil","16,20",0
7898532691000,1,"Natura Homem Ion Desodorante Spray Masculino Refil","16,20",0
7898447686429,1,"Natura Sintonia Total Desod Spray Refill","16,20",0
7898528407707,1,"Natura SRN Deo Spray Refil","16,20",0
7898447686405,1,"Natura Sintonia Desod Spray Refil","16,20",5
7898528407691,1,"Natura SRN Deo Masculino","20,70",9
7898532695220,1,"Natura SRN Cedro Deso Masculino","20,70",2
7898447670466,1,"Natura Humor Desod Masculino 02","20,70",2
7898528401651,1,"Natura SRN Creme Barbear Espumante","18,50",0
7898532690881,1,"Natura Homem Creme de Barbear Refrescante","21,00",1
7898528408742,1,"Natura Homem  Espuma Barbear Maximo Conforto","26,00",1
7898473148267,1,"Natura Biografia desod roll on masculino","14,70",3
7898517658035,1,"Natura Faces Conectada  Desod Spray Feminino","20,70",1
7899089433723,2,"Avon Naturals Oleo Corporal Maca Amor","16,99",2
